;Flat file;MySQL;MySQLi;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Apache Derby;MongoDB;
Apache OFBiz;No;Yes;No;Yes;Yes;Yes;No[21];Yes;Yes;?;
Batavi;No;Yes;No;No;No;No;No;No;?;No;
Bigcommerce;No;Yes;No;Yes;No;No;No;No;?;No;
Drupal Commerce;No;Yes;Yes;Yes;No;No;Yes;No;No;?;
KonaKart;No;Yes;No;Yes;Yes;Yes;No;No;?;No;
LemonStand;Yes;Yes;No;No;No;No;No;No;?;No;
Magento;No;Yes;Yes;No;No;No;No;No;No;No;
nopCommerce;No;No;No;No;Yes;No;No;No;No;No;
OpenCart;No;Yes;Yes;?;?;?;?;?;?;No;
osCommerce;No;Yes;No;No;No;No;No;No;No;No;
pimcore;No;Yes;No;No;No;No;No;No;No;No;
PrestaShop;No;Yes;Yes;No;No;No;No;No;No;No;
Sana Commerce;No;No;No;No;Yes;No;No;No;?;No;
Shopify;No;Yes;Yes;No;No;No;No;No;?;No;
Spree Commerce;?;Yes;?;Yes;?;?;Yes;?;No;No;
Storehippo;No;No;No;No;No;No;No;No;No;Yes;
SupaDupa;No;Yes;Yes;No;No;No;No;No;?;No;
WooCommerce;No;Yes;Yes;No[22];No;No;No;No;No;No;
X-Cart;No;Yes;Yes;Yes;No;No;No;No;No;No;
Zen Cart;No;Yes;Yes;No;No;No;No;No;No;No;
;Flat file;MySQL;MySQLi;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Apache Derby;MongoDB;
